,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
5207,129954717,138580983.0,126218196.0,108044030.0,91044836.0,4.6653,4.637,4.7575,4.6972,4.7691,4.7344,0
5208,138580983,126218196.0,108044030.0,91044836.0,99190182.0,4.637,4.7575,4.6972,4.7691,4.7344,4.664,0
5209,126218196,108044030.0,91044836.0,99190182.0,124488615.0,4.7575,4.6972,4.7691,4.7344,4.664,4.5602,0
5210,108044030,91044836.0,99190182.0,124488615.0,572078532.0,4.6972,4.7691,4.7344,4.664,4.5602,4.3708,0
5211,91044836,99190182.0,124488615.0,572078532.0,270744354.0,4.7691,4.7344,4.664,4.5602,4.3708,4.4528,1
5212,99190182,124488615.0,572078532.0,270744354.0,196689936.0,4.7344,4.664,4.5602,4.3708,4.4528,4.5526,1
5213,124488615,572078532.0,270744354.0,196689936.0,132290797.0,4.664,4.5602,4.3708,4.4528,4.5526,4.5282,0
5214,572078532,270744354.0,196689936.0,132290797.0,164419133.0,4.5602,4.3708,4.4528,4.5526,4.5282,4.5899,1
5215,270744354,196689936.0,132290797.0,164419133.0,177573060.0,4.3708,4.4528,4.5526,4.5282,4.5899,4.8086,1
5216,196689936,132290797.0,164419133.0,177573060.0,221611987.0,4.4528,4.5526,4.5282,4.5899,4.8086,4.8086,0
5217,132290797,164419133.0,177573060.0,221611987.0,126332850.0,4.5526,4.5282,4.5899,4.8086,4.8086,5.0918,1
5218,164419133,177573060.0,221611987.0,126332850.0,291180906.0,4.5282,4.5899,4.8086,4.8086,5.0918,5.0842,0
5219,177573060,221611987.0,126332850.0,291180906.0,165695531.0,4.5899,4.8086,4.8086,5.0918,5.0842,5.0943,1
5220,221611987,126332850.0,291180906.0,165695531.0,115818917.0,4.8086,4.8086,5.0918,5.0842,5.0943,5.2173,1
5221,126332850,291180906.0,165695531.0,115818917.0,146564901.0,4.8086,5.0918,5.0842,5.0943,5.2173,5.1942,0
5222,291180906,165695531.0,115818917.0,146564901.0,88153399.0,5.0918,5.0842,5.0943,5.2173,5.1942,5.0918,0
5223,165695531,115818917.0,146564901.0,88153399.0,112725720.0,5.0842,5.0943,5.2173,5.1942,5.0918,5.1611,1
5224,115818917,146564901.0,88153399.0,112725720.0,126666104.0,5.0943,5.2173,5.1942,5.0918,5.1611,5.1275,0
5225,146564901,88153399.0,112725720.0,126666104.0,104349496.0,5.2173,5.1942,5.0918,5.1611,5.1275,4.8973,0
5226,88153399,112725720.0,126666104.0,104349496.0,267013051.0,5.1942,5.0918,5.1611,5.1275,4.8973,4.8562,0
5227,112725720,126666104.0,104349496.0,267013051.0,226525416.0,5.0918,5.1611,5.1275,4.8973,4.8562,4.6795,0
5228,126666104,104349496.0,267013051.0,226525416.0,208220412.0,5.1611,5.1275,4.8973,4.8562,4.6795,4.728,1
5229,104349496,267013051.0,226525416.0,208220412.0,115229808.0,5.1275,4.8973,4.8562,4.6795,4.728,4.8216,1
5230,267013051,226525416.0,208220412.0,115229808.0,108913865.0,4.8973,4.8562,4.6795,4.728,4.8216,4.5858,0
5231,226525416,208220412.0,115229808.0,108913865.0,189387246.0,4.8562,4.6795,4.728,4.8216,4.5858,4.5974,1
5232,208220412,115229808.0,108913865.0,189387246.0,121567036.0,4.6795,4.728,4.8216,4.5858,4.5974,4.6102,1
5233,115229808,108913865.0,189387246.0,121567036.0,97548419.0,4.728,4.8216,4.5858,4.5974,4.6102,4.755,1
5234,108913865,189387246.0,121567036.0,97548419.0,157118398.0,4.8216,4.5858,4.5974,4.6102,4.755,4.8637,1
5235,189387246,121567036.0,97548419.0,157118398.0,154511983.0,4.5858,4.5974,4.6102,4.755,4.8637,4.906,1
5236,121567036,97548419.0,157118398.0,154511983.0,166475795.0,4.5974,4.6102,4.755,4.8637,4.906,4.8165,0
5237,97548419,157118398.0,154511983.0,166475795.0,90687155.0,4.6102,4.755,4.8637,4.906,4.8165,4.8484,1
5238,157118398,154511983.0,166475795.0,90687155.0,103450911.0,4.755,4.8637,4.906,4.8165,4.8484,4.9368,1
5239,154511983,166475795.0,90687155.0,103450911.0,119734681.0,4.8637,4.906,4.8165,4.8484,4.9368,4.9803,1
5240,166475795,90687155.0,103450911.0,119734681.0,188157265.0,4.906,4.8165,4.8484,4.9368,4.9803,4.8355,0
5241,90687155,103450911.0,119734681.0,188157265.0,115865908.0,4.8165,4.8484,4.9368,4.9803,4.8355,4.7512,0
5242,103450911,119734681.0,188157265.0,115865908.0,167664516.0,4.8484,4.9368,4.9803,4.8355,4.7512,4.7781,1
5243,119734681,188157265.0,115865908.0,167664516.0,97962542.0,4.9368,4.9803,4.8355,4.7512,4.7781,4.6576,0
5244,188157265,115865908.0,167664516.0,97962542.0,126673007.0,4.9803,4.8355,4.7512,4.7781,4.6576,4.7137,1
5245,115865908,167664516.0,97962542.0,126673007.0,116551667.0,4.8355,4.7512,4.7781,4.6576,4.7137,4.6742,0
5246,167664516,97962542.0,126673007.0,116551667.0,69942386.0,4.7512,4.7781,4.6576,4.7137,4.6742,4.8637,1
5247,97962542,126673007.0,116551667.0,69942386.0,126687338.0,4.7781,4.6576,4.7137,4.6742,4.8637,4.7882,0
5248,126673007,116551667.0,69942386.0,126687338.0,111345368.0,4.6576,4.7137,4.6742,4.8637,4.7882,4.819,1
5249,116551667,69942386.0,126687338.0,111345368.0,107163730.0,4.7137,4.6742,4.8637,4.7882,4.819,4.8984,1
5250,69942386,126687338.0,111345368.0,107163730.0,81121389.0,4.6742,4.8637,4.7882,4.819,4.8984,4.8791,0
5251,126687338,111345368.0,107163730.0,81121389.0,108907602.0,4.8637,4.7882,4.819,4.8984,4.8791,4.8973,1
5252,111345368,107163730.0,81121389.0,108907602.0,108155388.0,4.7882,4.819,4.8984,4.8791,4.8973,4.9111,1
5253,107163730,81121389.0,108907602.0,108155388.0,214155362.0,4.819,4.8984,4.8791,4.8973,4.9111,5.2184,1
5254,81121389,108907602.0,108155388.0,214155362.0,584584424.0,4.8984,4.8791,4.8973,4.9111,5.2184,5.3209,1
5255,108907602,108155388.0,214155362.0,584584424.0,191832481.0,4.8791,4.8973,4.9111,5.2184,5.3209,5.3134,0
5256,108155388,214155362.0,584584424.0,191832481.0,163840286.0,4.8973,4.9111,5.2184,5.3209,5.3134,5.5308,1
5257,214155362,584584424.0,191832481.0,163840286.0,187248178.0,4.9111,5.2184,5.3209,5.3134,5.5308,5.5874,1
5258,584584424,191832481.0,163840286.0,187248178.0,126658581.0,5.2184,5.3209,5.3134,5.5308,5.5874,5.5437,0
5259,191832481,163840286.0,187248178.0,126658581.0,113082587.0,5.3209,5.3134,5.5308,5.5874,5.5437,5.6347,1
5260,163840286,187248178.0,126658581.0,113082587.0,84157752.0,5.3134,5.5308,5.5874,5.5437,5.6347,5.6103,0
5261,187248178,126658581.0,113082587.0,84157752.0,82264050.0,5.5308,5.5874,5.5437,5.6347,5.6103,5.5874,0
5262,126658581,113082587.0,84157752.0,82264050.0,74921649.0,5.5874,5.5437,5.6347,5.6103,5.5874,5.6334,1
5263,113082587,84157752.0,82264050.0,74921649.0,79149666.0,5.5437,5.6347,5.6103,5.5874,5.6334,5.609,0
5264,84157752,82264050.0,74921649.0,79149666.0,70852736.0,5.6347,5.6103,5.5874,5.6334,5.609,5.4619,0
5265,82264050,74921649.0,79149666.0,70852736.0,157219733.0,5.6103,5.5874,5.6334,5.609,5.4619,5.4746,1
5266,74921649,79149666.0,70852736.0,157219733.0,88075776.0,5.5874,5.6334,5.609,5.4619,5.4746,5.5308,1
5267,79149666,70852736.0,157219733.0,88075776.0,82918991.0,5.6334,5.609,5.4619,5.4746,5.5308,5.5348,1
5268,70852736,157219733.0,88075776.0,82918991.0,72951250.0,5.609,5.4619,5.4746,5.5308,5.5348,5.4695,0
5269,157219733,88075776.0,82918991.0,72951250.0,76184388.0,5.4619,5.4746,5.5308,5.5348,5.4695,5.5052,1
5270,88075776,82918991.0,72951250.0,76184388.0,67611269.0,5.4746,5.5308,5.5348,5.4695,5.5052,5.4619,0
5271,82918991,72951250.0,76184388.0,67611269.0,49312217.0,5.5308,5.5348,5.4695,5.5052,5.4619,5.6116,1
5272,72951250,76184388.0,67611269.0,49312217.0,108057501.0,5.5348,5.4695,5.5052,5.4619,5.6116,5.5554,0
5273,76184388,67611269.0,49312217.0,108057501.0,101379479.0,5.4695,5.5052,5.4619,5.6116,5.5554,5.6347,1
5274,67611269,49312217.0,108057501.0,101379479.0,76003131.0,5.5052,5.4619,5.6116,5.5554,5.6347,5.9036,1
5275,49312217,108057501.0,101379479.0,76003131.0,260130637.0,5.4619,5.6116,5.5554,5.6347,5.9036,6.1059,1
5276,108057501,101379479.0,76003131.0,260130637.0,303022029.0,5.6116,5.5554,5.6347,5.9036,6.1059,5.9228,0
5277,101379479,76003131.0,260130637.0,303022029.0,150163756.0,5.5554,5.6347,5.9036,6.1059,5.9228,6.0381,1
5278,76003131,260130637.0,303022029.0,150163756.0,141460054.0,5.6347,5.9036,6.1059,5.9228,6.0381,5.9292,0
5279,260130637,303022029.0,150163756.0,141460054.0,123422177.0,5.9036,6.1059,5.9228,6.0381,5.9292,5.8691,0
5280,303022029,150163756.0,141460054.0,123422177.0,106504647.0,6.1059,5.9228,6.0381,5.9292,5.8691,5.8743,1
5281,150163756,141460054.0,123422177.0,106504647.0,108173172.0,5.9228,6.0381,5.9292,5.8691,5.8743,5.8576,0
5282,141460054,123422177.0,106504647.0,108173172.0,82448915.0,6.0381,5.9292,5.8691,5.8743,5.8576,5.8614,1
5283,123422177,106504647.0,108173172.0,82448915.0,159500136.0,5.9292,5.8691,5.8743,5.8576,5.8614,5.8986,1
5284,106504647,108173172.0,82448915.0,159500136.0,77043026.0,5.8691,5.8743,5.8576,5.8614,5.8986,5.8576,0
5285,108173172,82448915.0,159500136.0,77043026.0,72802432.0,5.8743,5.8576,5.8614,5.8986,5.8576,5.8703,1
5286,82448915,159500136.0,77043026.0,72802432.0,71339545.0,5.8576,5.8614,5.8986,5.8576,5.8703,5.9638,1
5287,159500136,77043026.0,72802432.0,71339545.0,144650701.0,5.8614,5.8986,5.8576,5.8703,5.9638,6.0049,1
5288,77043026,72802432.0,71339545.0,144650701.0,112376006.0,5.8986,5.8576,5.8703,5.9638,6.0049,5.9243,0
5289,72802432,71339545.0,144650701.0,112376006.0,99352590.0,5.8576,5.8703,5.9638,6.0049,5.9243,5.9191,0
5290,71339545,144650701.0,112376006.0,99352590.0,62007559.0,5.8703,5.9638,6.0049,5.9243,5.9191,6.2492,1
5291,144650701,112376006.0,99352590.0,62007559.0,228209875.0,5.9638,6.0049,5.9243,5.9191,6.2492,6.2341,0
5292,112376006,99352590.0,62007559.0,228209875.0,268406042.0,6.0049,5.9243,5.9191,6.2492,6.2341,6.3748,1
5293,99352590,62007559.0,228209875.0,268406042.0,195927825.0,5.9243,5.9191,6.2492,6.2341,6.3748,6.5708,1
5294,62007559,228209875.0,268406042.0,195927825.0,171695677.0,5.9191,6.2492,6.2341,6.3748,6.5708,6.5823,1
5295,228209875,268406042.0,195927825.0,171695677.0,126205513.0,6.2492,6.2341,6.3748,6.5708,6.5823,6.5083,0
5296,268406042,195927825.0,171695677.0,126205513.0,137444725.0,6.2341,6.3748,6.5708,6.5823,6.5083,6.3534,0
5297,195927825,171695677.0,126205513.0,137444725.0,132304903.0,6.3748,6.5708,6.5823,6.5083,6.3534,6.3864,1
5298,171695677,126205513.0,137444725.0,132304903.0,112889017.0,6.5708,6.5823,6.5083,6.3534,6.3864,6.5581,1
5299,126205513,137444725.0,132304903.0,112889017.0,164771845.0,6.5823,6.5083,6.3534,6.3864,6.5581,6.7411,1
5300,137444725,132304903.0,112889017.0,164771845.0,218488130.0,6.5083,6.3534,6.3864,6.5581,6.7411,6.8117,1
5301,132304903,112889017.0,164771845.0,218488130.0,228763721.0,6.3534,6.3864,6.5581,6.7411,6.8117,6.6733,0
5302,112889017,164771845.0,218488130.0,228763721.0,121023080.0,6.3864,6.5581,6.7411,6.8117,6.6733,6.6462,0
5303,164771845,218488130.0,228763721.0,121023080.0,129321885.0,6.5581,6.7411,6.8117,6.6733,6.6462,6.8129,1
5304,218488130,228763721.0,121023080.0,129321885.0,155727470.0,6.7411,6.8117,6.6733,6.6462,6.8129,6.8948,1
5305,228763721,121023080.0,129321885.0,155727470.0,152418192.0,6.8117,6.6733,6.6462,6.8129,6.8948,6.8436,0
5306,121023080,129321885.0,155727470.0,152418192.0,95282512.0,6.6733,6.6462,6.8129,6.8948,6.8436,6.5413,0
