Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
25297149,19115778.0,33386984.0,38837491.0,71943360.0,1.4969,1.4651,1.4572,1.4327,1.4085,1.3894,0
19115778,33386984.0,38837491.0,71943360.0,61120442.0,1.4651,1.4572,1.4327,1.4085,1.3894,1.4123,1
33386984,38837491.0,71943360.0,61120442.0,25503299.0,1.4572,1.4327,1.4085,1.3894,1.4123,1.3932,0
38837491,71943360.0,61120442.0,25503299.0,33830524.0,1.4327,1.4085,1.3894,1.4123,1.3932,1.4123,1
71943360,61120442.0,25503299.0,33830524.0,33852392.0,1.4085,1.3894,1.4123,1.3932,1.4123,1.4327,1
61120442,25503299.0,33830524.0,33852392.0,47686328.0,1.3894,1.4123,1.3932,1.4123,1.4327,1.4327,0
25503299,33830524.0,33852392.0,47686328.0,37956654.0,1.4123,1.3932,1.4123,1.4327,1.4327,1.4327,0
33830524,33852392.0,47686328.0,37956654.0,35895147.0,1.3932,1.4123,1.4327,1.4327,1.4327,1.4327,0
33852392,47686328.0,37956654.0,35895147.0,31322350.0,1.4123,1.4327,1.4327,1.4327,1.4327,1.4243,0
47686328,37956654.0,35895147.0,31322350.0,47561387.0,1.4327,1.4327,1.4327,1.4327,1.4243,1.4327,1
37956654,35895147.0,31322350.0,47561387.0,30372828.0,1.4327,1.4327,1.4327,1.4243,1.4327,1.4282,0
35895147,31322350.0,47561387.0,30372828.0,30528991.0,1.4327,1.4327,1.4243,1.4327,1.4282,1.3841,0
31322350,47561387.0,30372828.0,30528991.0,42438844.0,1.4327,1.4243,1.4327,1.4282,1.3841,1.4216,1
47561387,30372828.0,30528991.0,42438844.0,36913407.0,1.4243,1.4327,1.4282,1.3841,1.4216,1.4162,0
30372828,30528991.0,42438844.0,36913407.0,33761802.0,1.4327,1.4282,1.3841,1.4216,1.4162,1.4243,1
30528991,42438844.0,36913407.0,33761802.0,23076349.0,1.4282,1.3841,1.4216,1.4162,1.4243,1.4406,1
42438844,36913407.0,33761802.0,23076349.0,17079247.0,1.3841,1.4216,1.4162,1.4243,1.4406,1.4728,1
36913407,33761802.0,23076349.0,17079247.0,33777418.0,1.4216,1.4162,1.4243,1.4406,1.4728,1.4882,1
33761802,23076349.0,17079247.0,33777418.0,16813748.0,1.4162,1.4243,1.4406,1.4728,1.4882,1.5521,1
23076349,17079247.0,33777418.0,16813748.0,52958779.0,1.4243,1.4406,1.4728,1.4882,1.5521,1.5289,0
17079247,33777418.0,16813748.0,52958779.0,59083943.0,1.4406,1.4728,1.4882,1.5521,1.5289,1.5124,0
33777418,16813748.0,52958779.0,59083943.0,17635226.0,1.4728,1.4882,1.5521,1.5289,1.5124,1.5289,1
16813748,52958779.0,59083943.0,17635226.0,19521818.0,1.4882,1.5521,1.5289,1.5124,1.5289,1.5687,1
52958779,59083943.0,17635226.0,19521818.0,43841314.0,1.5521,1.5289,1.5124,1.5289,1.5687,1.5766,1
59083943,17635226.0,19521818.0,43841314.0,63634862.0,1.5289,1.5124,1.5289,1.5687,1.5766,1.524,0
17635226,19521818.0,43841314.0,63634862.0,50166377.0,1.5124,1.5289,1.5687,1.5766,1.524,1.5853,1
19521818,43841314.0,63634862.0,50166377.0,59871057.0,1.5289,1.5687,1.5766,1.524,1.5853,1.5443,0
43841314,63634862.0,50166377.0,59871057.0,60942405.0,1.5687,1.5766,1.524,1.5853,1.5443,1.5048,0
63634862,50166377.0,59871057.0,60942405.0,49841535.0,1.5766,1.524,1.5853,1.5443,1.5048,1.4728,0
50166377,59871057.0,60942405.0,49841535.0,48089265.0,1.524,1.5853,1.5443,1.5048,1.4728,1.4882,1
59871057,60942405.0,49841535.0,48089265.0,32240664.0,1.5853,1.5443,1.5048,1.4728,1.4882,1.4882,0
60942405,49841535.0,48089265.0,32240664.0,25009776.0,1.5443,1.5048,1.4728,1.4882,1.4882,1.4651,0
49841535,48089265.0,32240664.0,25009776.0,31106844.0,1.5048,1.4728,1.4882,1.4882,1.4651,1.5213,1
48089265,32240664.0,25009776.0,31106844.0,34573907.0,1.4728,1.4882,1.4882,1.4651,1.5213,1.4803,0
32240664,25009776.0,31106844.0,34573907.0,35042441.0,1.4882,1.4882,1.4651,1.5213,1.4803,1.4572,0
25009776,31106844.0,34573907.0,35042441.0,38337710.0,1.4882,1.4651,1.5213,1.4803,1.4572,1.4327,0
31106844,34573907.0,35042441.0,38337710.0,41698597.0,1.4651,1.5213,1.4803,1.4572,1.4327,1.4366,1
34573907,35042441.0,38337710.0,41698597.0,43860061.0,1.5213,1.4803,1.4572,1.4327,1.4366,1.4448,1
35042441,38337710.0,41698597.0,43860061.0,27902141.0,1.4803,1.4572,1.4327,1.4366,1.4448,1.4162,0
38337710,41698597.0,43860061.0,27902141.0,34227205.0,1.4572,1.4327,1.4366,1.4448,1.4162,1.4012,0
41698597,43860061.0,27902141.0,34227205.0,31665935.0,1.4327,1.4366,1.4448,1.4162,1.4012,1.3932,0
43860061,27902141.0,34227205.0,31665935.0,73892403.0,1.4366,1.4448,1.4162,1.4012,1.3932,1.4327,1
27902141,34227205.0,31665935.0,73892403.0,31637837.0,1.4448,1.4162,1.4012,1.3932,1.4327,1.4012,0
34227205,31665935.0,73892403.0,31637837.0,31600345.0,1.4162,1.4012,1.3932,1.4327,1.4012,1.3932,0
31665935,73892403.0,31637837.0,31600345.0,35411000.0,1.4012,1.3932,1.4327,1.4012,1.3932,1.3894,0
73892403,31637837.0,31600345.0,35411000.0,16382719.0,1.3932,1.4327,1.4012,1.3932,1.3894,1.4085,1
31637837,31600345.0,35411000.0,16382719.0,19977843.0,1.4327,1.4012,1.3932,1.3894,1.4085,1.4534,1
31600345,35411000.0,16382719.0,19977843.0,41045774.0,1.4012,1.3932,1.3894,1.4085,1.4534,1.4728,1
35411000,16382719.0,19977843.0,41045774.0,26696474.0,1.3932,1.3894,1.4085,1.4534,1.4728,1.4572,0
16382719,19977843.0,41045774.0,26696474.0,21033585.0,1.3894,1.4085,1.4534,1.4728,1.4572,1.5687,1
19977843,41045774.0,26696474.0,21033585.0,125873539.0,1.4085,1.4534,1.4728,1.4572,1.5687,1.5687,0
41045774,26696474.0,21033585.0,125873539.0,54673566.0,1.4534,1.4728,1.4572,1.5687,1.5687,1.5726,1
26696474,21033585.0,125873539.0,54673566.0,80108151.0,1.4728,1.4572,1.5687,1.5687,1.5726,1.5521,0
21033585,125873539.0,54673566.0,80108151.0,31862716.0,1.4572,1.5687,1.5687,1.5726,1.5521,1.561,1
125873539,54673566.0,80108151.0,31862716.0,23557363.0,1.5687,1.5687,1.5726,1.5521,1.561,1.561,0
54673566,80108151.0,31862716.0,23557363.0,25497052.0,1.5687,1.5726,1.5521,1.561,1.561,1.6496,1
80108151,31862716.0,23557363.0,25497052.0,69913083.0,1.5726,1.5521,1.561,1.561,1.6496,1.6496,0
31862716,23557363.0,25497052.0,69913083.0,59112053.0,1.5521,1.561,1.561,1.6496,1.6496,1.6725,1
23557363,25497052.0,69913083.0,59112053.0,54826631.0,1.561,1.561,1.6496,1.6496,1.6725,1.7044,1
25497052,69913083.0,59112053.0,54826631.0,59652424.0,1.561,1.6496,1.6496,1.6725,1.7044,1.68,0
69913083,59112053.0,54826631.0,59652424.0,36207497.0,1.6496,1.6496,1.6725,1.7044,1.68,1.6725,0
59112053,54826631.0,59652424.0,36207497.0,47436438.0,1.6496,1.6725,1.7044,1.68,1.6725,1.6648,0
54826631,59652424.0,36207497.0,47436438.0,31444182.0,1.6725,1.7044,1.68,1.6725,1.6648,1.68,1
59652424,36207497.0,47436438.0,31444182.0,39590233.0,1.7044,1.68,1.6725,1.6648,1.68,1.7611,1
36207497,47436438.0,31444182.0,39590233.0,83122325.0,1.68,1.6725,1.6648,1.68,1.7611,1.7853,1
47436438,31444182.0,39590233.0,83122325.0,73617544.0,1.6725,1.6648,1.68,1.7611,1.7853,1.7684,0
31444182,39590233.0,83122325.0,73617544.0,31494145.0,1.6648,1.68,1.7611,1.7853,1.7684,1.8005,1
39590233,83122325.0,73617544.0,31494145.0,34086641.0,1.68,1.7611,1.7853,1.7684,1.8005,1.817,1
83122325,73617544.0,31494145.0,34086641.0,39162317.0,1.7611,1.7853,1.7684,1.8005,1.817,1.821,1
73617544,31494145.0,34086641.0,39162317.0,30007368.0,1.7853,1.7684,1.8005,1.817,1.821,1.8005,0
31494145,34086641.0,39162317.0,30007368.0,23635455.0,1.7684,1.8005,1.817,1.821,1.8005,1.8377,1
34086641,39162317.0,30007368.0,23635455.0,18837778.0,1.8005,1.817,1.821,1.8005,1.8377,1.7684,0
39162317,30007368.0,23635455.0,18837778.0,47077237.0,1.817,1.821,1.8005,1.8377,1.7684,1.8492,1
30007368,23635455.0,18837778.0,47077237.0,85005783.0,1.821,1.8005,1.8377,1.7684,1.8492,1.8646,1
23635455,18837778.0,47077237.0,85005783.0,67083199.0,1.8005,1.8377,1.7684,1.8492,1.8646,1.8414,0
18837778,47077237.0,85005783.0,67083199.0,43363426.0,1.8377,1.7684,1.8492,1.8646,1.8414,1.817,0
47077237,85005783.0,67083199.0,43363426.0,42591912.0,1.7684,1.8492,1.8646,1.8414,1.817,1.8414,1
85005783,67083199.0,43363426.0,42591912.0,43735113.0,1.8492,1.8646,1.8414,1.817,1.8414,1.8085,0
67083199,43363426.0,42591912.0,43735113.0,32724804.0,1.8646,1.8414,1.817,1.8414,1.8085,1.8085,0
43363426,42591912.0,43735113.0,32724804.0,13162390.0,1.8414,1.817,1.8414,1.8085,1.8085,1.8414,1
42591912,43735113.0,32724804.0,13162390.0,44762737.0,1.817,1.8414,1.8085,1.8085,1.8414,1.8646,1
43735113,32724804.0,13162390.0,44762737.0,36294956.0,1.8414,1.8085,1.8085,1.8414,1.8646,1.8326,0
32724804,13162390.0,44762737.0,36294956.0,27268068.0,1.8085,1.8085,1.8414,1.8646,1.8326,1.8414,1
13162390,44762737.0,36294956.0,27268068.0,52315342.0,1.8085,1.8414,1.8646,1.8326,1.8414,1.821,0
44762737,36294956.0,27268068.0,52315342.0,26712096.0,1.8414,1.8646,1.8326,1.8414,1.821,1.8492,1
36294956,27268068.0,52315342.0,26712096.0,40221194.0,1.8646,1.8326,1.8414,1.821,1.8492,1.8609,1
