,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
38,99915760.0,59355040.0,84343200.0,58729440.0,60716640.0,54365440.0,47336320.0,70122960.0,67535680.0,59037760.0,24.05,25.34375,26.3,26.534375,26.609375,27.628125,27.790625,30.759375,31.965625,32.915625,33.9125,1
39,59355040.0,84343200.0,58729440.0,60716640.0,54365440.0,47336320.0,70122960.0,67535680.0,59037760.0,53293440.0,25.34375,26.3,26.534375,26.609375,27.628125,27.790625,30.759375,31.965625,32.915625,33.9125,35.33125,1
40,84343200.0,58729440.0,60716640.0,54365440.0,47336320.0,70122960.0,67535680.0,59037760.0,53293440.0,28682080.0,26.3,26.534375,26.609375,27.628125,27.790625,30.759375,31.965625,32.915625,33.9125,35.33125,35.821875,1
41,58729440.0,60716640.0,54365440.0,47336320.0,70122960.0,67535680.0,59037760.0,53293440.0,28682080.0,52285760.0,26.534375,26.609375,27.628125,27.790625,30.759375,31.965625,32.915625,33.9125,35.33125,35.821875,36.69375,1
42,60716640.0,54365440.0,47336320.0,70122960.0,67535680.0,59037760.0,53293440.0,28682080.0,52285760.0,56222320.0,26.609375,27.628125,27.790625,30.759375,31.965625,32.915625,33.9125,35.33125,35.821875,36.69375,38.403125,1
43,54365440.0,47336320.0,70122960.0,67535680.0,59037760.0,53293440.0,28682080.0,52285760.0,56222320.0,85371600.0,27.628125,27.790625,30.759375,31.965625,32.915625,33.9125,35.33125,35.821875,36.69375,38.403125,41.615625,1
44,47336320.0,70122960.0,67535680.0,59037760.0,53293440.0,28682080.0,52285760.0,56222320.0,85371600.0,96465200.0,27.790625,30.759375,31.965625,32.915625,33.9125,35.33125,35.821875,36.69375,38.403125,41.615625,42.071875,1
45,70122960.0,67535680.0,59037760.0,53293440.0,28682080.0,52285760.0,56222320.0,85371600.0,96465200.0,83233440.0,30.759375,31.965625,32.915625,33.9125,35.33125,35.821875,36.69375,38.403125,41.615625,42.071875,40.434375,0
46,67535680.0,59037760.0,53293440.0,28682080.0,52285760.0,56222320.0,85371600.0,96465200.0,83233440.0,89833120.0,31.965625,32.915625,33.9125,35.33125,35.821875,36.69375,38.403125,41.615625,42.071875,40.434375,37.875,0
47,59037760.0,53293440.0,28682080.0,52285760.0,56222320.0,85371600.0,96465200.0,83233440.0,89833120.0,85586720.0,32.915625,33.9125,35.33125,35.821875,36.69375,38.403125,41.615625,42.071875,40.434375,37.875,38.0375,1
48,53293440.0,28682080.0,52285760.0,56222320.0,85371600.0,96465200.0,83233440.0,89833120.0,85586720.0,77081680.0,33.9125,35.33125,35.821875,36.69375,38.403125,41.615625,42.071875,40.434375,37.875,38.0375,37.85625,0
49,28682080.0,52285760.0,56222320.0,85371600.0,96465200.0,83233440.0,89833120.0,85586720.0,77081680.0,60539840.0,35.33125,35.821875,36.69375,38.403125,41.615625,42.071875,40.434375,37.875,38.0375,37.85625,40.190625,1
50,52285760.0,56222320.0,85371600.0,96465200.0,83233440.0,89833120.0,85586720.0,77081680.0,60539840.0,65262800.0,35.821875,36.69375,38.403125,41.615625,42.071875,40.434375,37.875,38.0375,37.85625,40.190625,42.284375,1
51,56222320.0,85371600.0,96465200.0,83233440.0,89833120.0,85586720.0,77081680.0,60539840.0,65262800.0,64458960.0,36.69375,38.403125,41.615625,42.071875,40.434375,37.875,38.0375,37.85625,40.190625,42.284375,43.434375,1
