,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
10,29183540,19812960.0,14481820.0,11578940.0,17317420.0,13042040.0,15328920.0,22102580.0,33697220.0,27060320.0,95.88688659667969,96.64364318847656,97.973974609375,93.58157958984376,88.63563537597656,86.36436462402344,90.36936798095704,85.70270080566407,88.0330307006836,86.23423309326172,98.9109115600586,1
11,27060320,17901560.0,19812960.0,14481820.0,11578940.0,17317420.0,13042040.0,15328920.0,22102580.0,33697220.0,86.23423309326172,98.9109115600586,96.64364318847656,97.973974609375,93.58157958984376,88.63563537597656,86.36436462402344,90.36936798095704,85.70270080566407,88.0330307006836,93.82782897949218,1
12,33697220,21658080.0,17901560.0,19812960.0,14481820.0,11578940.0,17317420.0,13042040.0,15328920.0,22102580.0,88.0330307006836,93.82782897949218,98.9109115600586,96.64364318847656,97.973974609375,93.58157958984376,88.63563537597656,86.36436462402344,90.36936798095704,85.70270080566407,95.61361236572266,1
13,22102580,23807800.0,21658080.0,17901560.0,19812960.0,14481820.0,11578940.0,17317420.0,13042040.0,15328920.0,85.70270080566407,95.61361236572266,93.82782897949218,98.9109115600586,96.64364318847656,97.973974609375,93.58157958984376,88.63563537597656,86.36436462402344,90.36936798095704,101.68668670654297,1
14,15328920,33984780.0,23807800.0,21658080.0,17901560.0,19812960.0,14481820.0,11578940.0,17317420.0,13042040.0,90.36936798095704,101.68668670654297,95.61361236572266,93.82782897949218,98.9109115600586,96.64364318847656,97.973974609375,93.58157958984376,88.63563537597656,86.36436462402344,95.61361389160156,1
15,13042040,45400580.0,33984780.0,23807800.0,21658080.0,17901560.0,19812960.0,14481820.0,11578940.0,17317420.0,86.36436462402344,95.61361389160156,101.68668670654297,95.61361236572266,93.82782897949218,98.9109115600586,96.64364318847656,97.973974609375,93.58157958984376,88.63563537597656,98.05605621337891,1
16,17317420,25775080.0,45400580.0,33984780.0,23807800.0,21658080.0,17901560.0,19812960.0,14481820.0,11578940.0,88.63563537597656,98.05605621337891,95.61361389160156,101.68668670654297,95.61361236572266,93.82782897949218,98.9109115600586,96.64364318847656,97.973974609375,93.58157958984376,93.49249420166015,0
17,11578940,24057020.0,25775080.0,45400580.0,33984780.0,23807800.0,21658080.0,17901560.0,19812960.0,14481820.0,93.58157958984376,93.49249420166015,98.05605621337891,95.61361389160156,101.68668670654297,95.61361236572266,93.82782897949218,98.9109115600586,96.64364318847656,97.973974609375,92.9199203491211,0
18,14481820,16965600.0,24057020.0,25775080.0,45400580.0,33984780.0,23807800.0,21658080.0,17901560.0,19812960.0,97.973974609375,92.9199203491211,93.49249420166015,98.05605621337891,95.61361389160156,101.68668670654297,95.61361236572266,93.82782897949218,98.9109115600586,96.64364318847656,88.78678588867187,0
19,19812960,19046400.0,16965600.0,24057020.0,25775080.0,45400580.0,33984780.0,23807800.0,21658080.0,17901560.0,96.64364318847656,88.78678588867187,92.9199203491211,93.49249420166015,98.05605621337891,95.61361389160156,101.68668670654297,95.61361236572266,93.82782897949218,98.9109115600586,89.86886901855469,0
20,17901560,13311040.0,19046400.0,16965600.0,24057020.0,25775080.0,45400580.0,33984780.0,23807800.0,21658080.0,98.9109115600586,89.86886901855469,88.78678588867187,92.9199203491211,93.49249420166015,98.05605621337891,95.61361389160156,101.68668670654297,95.61361236572266,93.82782897949218,90.21021118164063,0
21,21658080,12755540.0,13311040.0,19046400.0,16965600.0,24057020.0,25775080.0,45400580.0,33984780.0,23807800.0,93.82782897949218,90.21021118164063,89.86886901855469,88.78678588867187,92.9199203491211,93.49249420166015,98.05605621337891,95.61361389160156,101.68668670654297,95.61361236572266,93.78178100585937,0
22,23807800,15160740.0,12755540.0,13311040.0,19046400.0,16965600.0,24057020.0,25775080.0,45400580.0,33984780.0,95.61361236572266,93.78178100585937,90.21021118164063,89.86886901855469,88.78678588867187,92.9199203491211,93.49249420166015,98.05605621337891,95.61361389160156,101.68668670654297,96.45845947265624,0
23,33984780,12209780.0,15160740.0,12755540.0,13311040.0,19046400.0,16965600.0,24057020.0,25775080.0,45400580.0,101.68668670654297,96.45845947265624,93.78178100585937,90.21021118164063,89.86886901855469,88.78678588867187,92.9199203491211,93.49249420166015,98.05605621337891,95.61361389160156,96.66566467285156,1
24,45400580,23880460.0,12209780.0,15160740.0,12755540.0,13311040.0,19046400.0,16965600.0,24057020.0,25775080.0,95.61361389160156,96.66566467285156,96.45845947265624,93.78178100585937,90.21021118164063,89.86886901855469,88.78678588867187,92.9199203491211,93.49249420166015,98.05605621337891,109.84184112548829,1
25,25775080,35670120.0,23880460.0,12209780.0,15160740.0,12755540.0,13311040.0,19046400.0,16965600.0,24057020.0,98.05605621337891,109.84184112548829,96.66566467285156,96.45845947265624,93.78178100585937,90.21021118164063,89.86886901855469,88.78678588867187,92.9199203491211,93.49249420166015,112.50850830078124,1
26,24057020,22501780.0,35670120.0,23880460.0,12209780.0,15160740.0,12755540.0,13311040.0,19046400.0,16965600.0,93.49249420166015,112.50850830078124,109.84184112548829,96.66566467285156,96.45845947265624,93.78178100585937,90.21021118164063,89.86886901855469,88.78678588867187,92.9199203491211,114.29929809570312,1
