,t-1,t
351,0.35473,0.37651
352,0.37651,0.36754
353,0.36754,0.36883
354,0.36883,0.38164
355,0.38164,0.37906
356,0.37906,0.37906
357,0.37906,0.38419
358,0.38419,0.38289
359,0.38289,0.38164
360,0.38164,0.38164
361,0.38164,0.38289
362,0.38289,0.38164
363,0.38164,0.37906
364,0.37906,0.38164
365,0.38164,0.39956
366,0.39956,0.40081
367,0.40081,0.40339
368,0.40339,0.41111
369,0.41111,0.42134
370,0.42134,0.41491
371,0.41491,0.40853
372,0.40853,0.39956
373,0.39956,0.39316
374,0.39316,0.39316
375,0.39316,0.40339
376,0.40339,0.40593
377,0.40593,0.39443
378,0.39443,0.39316
379,0.39316,0.39699
380,0.39699,0.39443
381,0.39443,0.39443
382,0.39443,0.41618
383,0.41618,0.41491
384,0.41491,0.42902
385,0.42902,0.42388
386,0.42388,0.45081
387,0.45081,0.44052
388,0.44052,0.42646
389,0.42646,0.44566
390,0.44566,0.45081
391,0.45081,0.45081
392,0.45081,0.45081
393,0.45081,0.4354
394,0.4354,0.4354
395,0.4354,0.43157
396,0.43157,0.42646
397,0.42646,0.4354
398,0.4354,0.44052
399,0.44052,0.43286
400,0.43286,0.4354
401,0.4354,0.43157
402,0.43157,0.42902
403,0.42902,0.43668
404,0.43668,0.45081
405,0.45081,0.46357
406,0.46357,0.47512
407,0.47512,0.48535
408,0.48535,0.47763
409,0.47763,0.47251
410,0.47251,0.5007
411,0.5007,0.5148
412,0.5148,0.5111
413,0.5111,0.49931
414,0.49931,0.48291
415,0.48291,0.48291
416,0.48291,0.48671
417,0.48671,0.5125
418,0.5125,0.5209
419,0.5209,0.5021
420,0.5021,0.5276
421,0.5276,0.5329
422,0.5329,0.5814
423,0.5814,0.575
424,0.575,0.5877
425,0.5877,0.575
426,0.575,0.575
427,0.575,0.5686
428,0.5686,0.5649
429,0.5649,0.5903
430,0.5903,0.5865
431,0.5865,0.5903
432,0.5903,0.5877
433,0.5877,0.5944
434,0.5944,0.5903
435,0.5903,0.5903
436,0.5903,0.593
437,0.593,0.6043
438,0.6043,0.6185
439,0.6185,0.6199
440,0.6199,0.6032
441,0.6032,0.575
442,0.575,0.575
443,0.575,0.5764
444,0.5764,0.575
445,0.575,0.5814
446,0.5814,0.5724
447,0.5724,0.5466
448,0.5466,0.5466
449,0.5466,0.5597
450,0.5597,0.575
451,0.575,0.5545
452,0.5545,0.5559
453,0.5559,0.5724
454,0.5724,0.5789
455,0.5789,0.5724
456,0.5724,0.5724
457,0.5724,0.5649
458,0.5649,0.5764
459,0.5764,0.6005
460,0.6005,0.5686
461,0.5686,0.5466
462,0.5466,0.5532
463,0.5532,0.5649
464,0.5649,0.593
465,0.593,0.5789
466,0.5789,0.5559
467,0.5559,0.5342
468,0.5342,0.5148
469,0.5148,0.5072
470,0.5072,0.5342
471,0.5342,0.5532
472,0.5532,0.5441
473,0.5441,0.5288
474,0.5288,0.5428
475,0.5428,0.5173
476,0.5173,0.49931
477,0.49931,0.48671
478,0.48671,0.49931
479,0.49931,0.5007
480,0.5007,0.5021
481,0.5021,0.5125
482,0.5125,0.49685
483,0.49685,0.5072
484,0.5072,0.5046
485,0.5046,0.5342
486,0.5342,0.5466
487,0.5466,0.575
488,0.575,0.575
489,0.575,0.571
490,0.571,0.5649
491,0.5649,0.5649
492,0.5649,0.5789
493,0.5789,0.571
494,0.571,0.5789
495,0.5789,0.5814
496,0.5814,0.5851
497,0.5851,0.5903
498,0.5903,0.6032
499,0.6032,0.5903
500,0.5903,0.5545
501,0.5545,0.5545
502,0.5545,0.5659
503,0.5659,0.561
504,0.561,0.5545
505,0.5545,0.571
506,0.571,0.5597
507,0.5597,0.5209
508,0.5209,0.5072
509,0.5072,0.5288
510,0.5288,0.5559
511,0.5559,0.5466
512,0.5466,0.5428
513,0.5428,0.5366
514,0.5366,0.5621
515,0.5621,0.5764
516,0.5764,0.561
517,0.561,0.5507
518,0.5507,0.5466
519,0.5466,0.5186
520,0.5186,0.5342
521,0.5342,0.5441
522,0.5441,0.5441
523,0.5441,0.5392
524,0.5392,0.5441
525,0.5441,0.5276
526,0.5276,0.5223
527,0.5223,0.5276
528,0.5276,0.5302
529,0.5302,0.5532
530,0.5532,0.5428
531,0.5428,0.5329
532,0.5329,0.5366
533,0.5366,0.5366
534,0.5366,0.525
535,0.525,0.5223
536,0.5223,0.5186
537,0.5186,0.5288
538,0.5288,0.5276
539,0.5276,0.5428
