,t-5,t-4,t-3,t-2,t-1,t
72,13725687.558377199,24095711.642880794,16627130.3235,11968963.0167904,18186023.8178624,0.434138
73,24095711.642880794,16627130.3235,11968963.0167904,18186023.8178624,45961137.0148672,0.44669799999999993
74,16627130.3235,11968963.0167904,18186023.8178624,45961137.0148672,28222697.152938396,0.43387000000000003
75,11968963.0167904,18186023.8178624,45961137.0148672,28222697.152938396,23611183.359404,0.433106
76,18186023.8178624,45961137.0148672,28222697.152938396,23611183.359404,12980410.6491808,0.47049599999999997
77,45961137.0148672,28222697.152938396,23611183.359404,12980410.6491808,34903341.9803328,0.49968399999999996
78,28222697.152938396,23611183.359404,12980410.6491808,34903341.9803328,35093333.587188795,0.49718599999999996
79,23611183.359404,12980410.6491808,34903341.9803328,35093333.587188795,23770783.1460956,0.5438000000000001
80,12980410.6491808,34903341.9803328,35093333.587188795,23770783.1460956,46311411.76532001,0.57424
81,34903341.9803328,35093333.587188795,23770783.1460956,46311411.76532001,47405720.756736,0.58984
82,35093333.587188795,23770783.1460956,46311411.76532001,47405720.756736,32861796.854896,0.59928
83,23770783.1460956,46311411.76532001,47405720.756736,32861796.854896,35252835.372480005,0.5899
84,46311411.76532001,47405720.756736,32861796.854896,35252835.372480005,33100987.67604,0.5644
85,47405720.756736,32861796.854896,35252835.372480005,33100987.67604,34546451.14568,0.5635
86,32861796.854896,35252835.372480005,33100987.67604,34546451.14568,28169131.372899998,0.573
87,35252835.372480005,33100987.67604,34546451.14568,28169131.372899998,15035414.224199997,0.56676
88,33100987.67604,34546451.14568,28169131.372899998,15035414.224199997,38261892.901032,0.55536
89,34546451.14568,28169131.372899998,15035414.224199997,38261892.901032,48015430.28380799,0.5335
90,28169131.372899998,15035414.224199997,38261892.901032,48015430.28380799,32772400.9492,0.5090859999999999
91,15035414.224199997,38261892.901032,48015430.28380799,32772400.9492,45355457.839581996,0.50387
92,38261892.901032,48015430.28380799,32772400.9492,45355457.839581996,21267519.198246,0.54708
93,48015430.28380799,32772400.9492,45355457.839581996,21267519.198246,37324271.386344,0.57014
94,32772400.9492,45355457.839581996,21267519.198246,37324271.386344,25067630.564028002,0.5877800000000001
95,45355457.839581996,21267519.198246,37324271.386344,25067630.564028002,24263586.378328003,0.56524
96,21267519.198246,37324271.386344,25067630.564028002,24263586.378328003,24684817.274935998,0.54266
97,37324271.386344,25067630.564028002,24263586.378328003,24684817.274935998,21655912.433048,0.5421400000000001
98,25067630.564028002,24263586.378328003,24684817.274935998,21655912.433048,24572817.205876004,0.5593600000000001
99,24263586.378328003,24684817.274935998,21655912.433048,24572817.205876004,31592764.112640005,0.5360400000000001
100,24684817.274935998,21655912.433048,24572817.205876004,31592764.112640005,22779399.423528004,0.5303599999999999
101,21655912.433048,24572817.205876004,31592764.112640005,22779399.423528004,13919864.730551997,0.54042
102,24572817.205876004,31592764.112640005,22779399.423528004,13919864.730551997,23875021.817724,0.52446
103,31592764.112640005,22779399.423528004,13919864.730551997,23875021.817724,16254339.241932001,0.5416799999999999
104,22779399.423528004,13919864.730551997,23875021.817724,16254339.241932001,23977387.089743994,0.5736800000000001
105,13919864.730551997,23875021.817724,16254339.241932001,23977387.089743994,47928592.63635201,0.56878
106,23875021.817724,16254339.241932001,23977387.089743994,47928592.63635201,17755838.687312,0.5686199999999999
107,16254339.241932001,23977387.089743994,47928592.63635201,17755838.687312,37949126.313384,0.6349400000000001
108,23977387.089743994,47928592.63635201,17755838.687312,37949126.313384,81428202.722532,0.68028
109,47928592.63635201,17755838.687312,37949126.313384,81428202.722532,60090697.316112004,0.67594
110,17755838.687312,37949126.313384,81428202.722532,60090697.316112004,43808463.196116,0.6685800000000001
111,37949126.313384,81428202.722532,60090697.316112004,43808463.196116,31383018.303516004,0.65924
112,81428202.722532,60090697.316112004,43808463.196116,31383018.303516004,25576861.790432,0.6796599999999999
113,60090697.316112004,43808463.196116,31383018.303516004,25576861.790432,47480184.83959599,0.7291000000000001
