t-1,t-2,t-3,t-4,t-5,t,movement
3535740812.5,3440390525.34,3827973699.81,5565341016.900001,118.84,119.95,0
5900757206.3,3535740812.5,3440390525.34,3827973699.81,119.7,116.97,0
7447408899.21,5900757206.3,3535740812.5,3440390525.34,120.81,114.59,0
9437199708.16,7447408899.21,5900757206.3,3535740812.5,120.66,117.65,1
7563784501.650001,9437199708.16,7447408899.21,5900757206.3,120.25,119.92,1
5207366146.64,7563784501.650001,9437199708.16,7447408899.21,119.95,119.87,0
3989172789.33,5207366146.64,7563784501.650001,9437199708.16,116.97,121.02,1
4264662143.34,3989172789.33,5207366146.64,7563784501.650001,114.59,122.63,1
4654526130.76,4264662143.34,3989172789.33,5207366146.64,117.65,123.72,1
5984824722.84,4654526130.76,4264662143.34,3989172789.33,119.92,126.03,1
7778434857.45,5984824722.84,4654526130.76,4264662143.34,119.87,124.78,0
10036009855.3,7778434857.45,5984824722.84,4654526130.76,121.02,119.51,0
14457791207.27,10036009855.3,7778434857.45,5984824722.84,122.63,119.45,0
6383409672.3,14457791207.27,10036009855.3,7778434857.45,123.72,118.81,0
5249026869.29,6383409672.3,14457791207.27,10036009855.3,126.03,117.17,0
5458124485.84,5249026869.29,6383409672.3,14457791207.27,124.78,117.75,1
4147957466.25,5458124485.84,5249026869.29,6383409672.3,119.51,117.39,0
4552721578.86,4147957466.25,5458124485.84,5249026869.29,119.45,116.78,0
4115035483.56,4552721578.86,4147957466.25,5458124485.84,118.81,115.76,0
5201928998.64,4115035483.56,4552721578.86,4147957466.25,117.17,113.02,0
8283405103.96,5201928998.64,4115035483.56,4552721578.86,117.75,109.41,0
14231981574.09,8283405103.96,5201928998.64,4115035483.56,117.39,110.13,1
11460709396.53,14231981574.09,8283405103.96,5201928998.64,116.78,110.37,1
6087845300.55,11460709396.53,14231981574.09,8283405103.96,115.76,110.74,1
4467075523.4,6087845300.55,11460709396.53,14231981574.09,113.02,114.78,1
6579393908.4,4467075523.4,6087845300.55,11460709396.53,109.41,108.8,0
