,t-1,t-2,t-3,t-4,t-5,t,movement
45,118.74,117.47,116.79,116.16,118.32,120.73,1
420,103.32,106.1,105.45,105.48,104.5,100.98,0
582,145.81,144.89,141.99,142.13,142.02,145.37,0
171,110.54,109.49,107.92,105.6,107.67,111.47,1
16,112.3,110.91,112.57,109.16,103.31,112.32,1
48,121.17,122.09,120.73,118.74,117.47,119.67,0
692,154.74,154.83,152.93,153.92,153.26,155.28,1
655,161.02,159.28,156.92,154.76,159.86,160.37,0
3,104.35,103.42,106.04,105.93,102.01,103.95,0
497,114.92,115.41,114.68,114.45,115.21,114.89,0
434,111.58,110.72,110.52,110.36,112.23,109.85,0
316,106.91,105.53,105.18,105.06,107.41,108.44,1
659,156.65,156.94,157.29,160.37,161.02,159.21,1
283,93.022,91.659,93.778,92.965,93.177,93.66,1
96,125.75,126.01,123.72,126.49,125.41,124.31,0
285,93.808,93.66,93.022,91.659,93.778,93.594,0
715,175.61,174.18,173.63,171.88,167.51,175.25,0
225,113.9,113.41,113.63,114.45,113.35,112.95,0
26,121.49,120.77,120.19,118.67,115.96,122.31,1
678,158.1,159.31,157.71,159.08,160.28,158.16,1
263,96.266,95.736,97.641,92.712,93.184,89.941,0
50,120.89,119.67,121.17,122.09,120.73,120.4,0
364,92.616,92.839,95.0,94.602,94.914,93.404,1
229,114.6,110.91,111.95,112.95,113.9,113.88,0
37,122.16,122.94,122.67,122.08,123.93,120.14,0
157,98.855,101.4,107.98,110.25,111.68,99.452,1
237,107.19,106.37,108.29,108.97,111.84,104.91,0
687,153.57,152.73,153.68,152.59,150.01,153.26,0
374,92.556,93.384,93.102,91.934,91.145,93.034,1
370,91.145,89.635,90.96,93.589,93.063,91.934,1
175,108.76,109.22,111.59,111.47,110.54,110.44,1
607,154.21,153.3,152.78,154.29,152.03,153.83,0
570,139.42,140.17,140.0,141.51,141.68,140.2,1
528,131.75,130.6,130.89,129.95,129.44,133.45,1
194,107.23,105.66,107.16,106.99,107.49,106.44,0
609,147.87,153.83,154.21,153.3,152.78,144.33,0
617,144.78,143.92,145.25,141.2,143.22,144.54,0
447,115.11,115.18,114.54,114.9,113.88,115.03,0
468,105.41,104.04,106.72,106.08,109.13,108.25,1
618,144.54,144.78,143.92,145.25,141.2,145.19,1
691,154.83,152.93,153.92,153.26,153.57,154.74,0
596,152.84,151.91,151.4,149.12,154.31,152.65,0
615,145.25,141.2,143.22,144.07,145.5,143.92,0
67,119.91,120.48,120.03,120.54,120.78,118.55,0
464,109.13,109.31,108.66,107.11,108.09,106.08,0
168,105.6,107.67,104.74,105.81,107.7,107.92,1
470,108.21,108.25,105.41,104.04,106.72,108.31,1
162,108.09,108.6,108.25,105.15,99.452,103.26,0
309,106.46,105.5,106.05,104.24,101.82,107.56,1
193,105.66,107.16,106.99,107.49,104.96,107.23,1
503,116.04,114.77,114.19,114.31,113.99,117.11,1
