,t-1,t,movement
686,7075726466.55,150.01,0
197,4900541864.04,107.23,1
279,4306058869.400001,90.98,1
293,3530351605.5,99.73,1
400,2671996696.53,105.23,1
122,6121930533.88,119.7,1
183,5766367996.48,109.96,0
202,4815727463.17,110.72,1
438,3287126938.76,109.85,0
246,3546752992.64,104.01,0
415,2463739912.04,104.7,0
638,3555095546.16,148.95,1
129,9437199708.16,117.65,1
402,2775304503.36,106.54,1
567,2812934873.7,142.36,0
559,2867179486.05,139.01,0
219,5146294714.05,109.92,1
654,5784102026.88,159.86,1
547,2328274125.42,137.4,0
657,4131933801.64,159.28,1
554,2705677904.6,138.36,0
386,2917904027.642,97.222,1
697,2531404063.2,155.34,1
509,2523504234.08,117.86,1
267,6059678909.574,89.941,0
441,2345732200.0,110.63,1
496,2208368428.83,115.21,1
112,5582908065.76,121.78,1
232,4787945326.95,114.6,1
626,3216451794.02,142.61,0
373,4077653549.06,91.145,1
233,6877394452.799999,113.88,0
568,3891027793.960001,142.0,0
317,3201713585.76,105.18,1
410,2061087256.03,107.08,1
643,3265413042.7200003,151.6,1
358,2247576094.806,96.442,1
258,4695341923.728,93.762,0
282,4160045342.707,93.177,0
376,3230885096.178,93.384,1
384,2113100581.746,96.199,1
224,4090565691.12,113.35,0
683,3268908766.56,155.51,0
588,3421022308.8,147.24,1
472,3455693450.55,108.25,1
347,2787496079.958,92.732,1
505,2380919165.95,114.77,1
709,3312378079.65,156.85,1
665,3100261951.73,158.7,0
648,2932084240.36,148.92,1
713,6093192904.7300005,166.29,0
607,2509692844.37,154.29,1
556,3047450265.78,138.23,0
577,2323853240.8500004,140.79,1
85,9011928855.6,119.55,1
242,4878835983.059999,102.09,0
159,7715856780.98,101.4,0
524,14194956638.8,126.5,0
35,9143325995.46,122.38,0
540,2901068853.76,135.35,1
170,5462488775.82,107.67,1
616,4566017137.219999,143.22,0
608,4306697850.03,152.78,0
677,5089927600.08,160.28,0
95,4740559066.9,125.41,1
563,4043136603.3,142.27,0
240,5891415095.83,107.19,1
574,2417902503.6,140.2,1
460,3954881308.15,111.17,0
553,3608501429.730001,139.06,1
631,3441263367.24,143.11,1
206,8005016898.57,114.34,1
392,3706097776.368,94.144,0
397,3899407250.08,101.75,0
609,3892098611.52,153.3,1
217,5250472790.150001,111.41,0
4,6639611999.13,106.04,1
642,3774814681.3,150.96,1
546,2639719269.27,137.91,1
98,9160733701.32,126.01,1
573,2819149080.69,139.42,0
406,1936034623.71,107.19,1
502,1722003489.2,113.99,0
47,5945877237.18,117.47,1
32,4794841851.15,123.07,1
200,3324682594.8,109.08,1
134,4654526130.76,123.72,1
27,9176989745.37,120.19,1
633,3057865355.97,144.44,1
230,4088872227.6,111.95,0
489,3801792139.8,111.51,0
378,2578540835.556,93.034,1
288,2389881571.56,93.808,1
418,2367792278.66,103.89,1
391,2546756698.15,94.796,0
592,3951173844.73,152.8,1
498,2926048843.2000003,114.68,1
138,14457791207.27,119.45,0
62,4037852302.2,121.02,1
471,5409919258.200001,105.41,1
128,7447408899.21,114.59,0
715,6958730069.27,171.88,1
520,3091902117.04,120.02,1
64,4409502601.440001,119.37,0
14,5701039877.12,107.06,1
156,4790248407.36,111.68,0
40,4891960002.42,122.16,0
492,3727291083.36,113.99,1
379,2801215596.0600004,93.433,1
187,7332037929.259999,105.04,0
216,6904937244.620001,111.79,0
52,5840654394.33,119.67,0
337,3229409482.068,90.296,0
295,3318261824.874,97.797,0
251,4087621342.25,101.44,1
461,2999596944.24,109.17,0
455,2548354661.51,115.2,1
718,4254325075.86,175.61,1
