,t-1,t-2,t-3,t-4,t-5,t,movement
13,6590333378.624,7783116465.085601,8962790519.352001,4772292324.861599,4346942152.84,122.912,1
133,5811083078.2704,5492043452.219999,6361409939.0256,3968058897.290401,3850542051.1488,153.28199999999998,1
3,8959288491.657999,6866785937.308001,7512006370.144,6448666602.432001,10698530110.5488,121.276,0
17,5699175430.0936,4655327548.3008,6249283747.9408,5500763799.929599,6590333378.624,121.694,0
38,4744889464.528,7596398627.148801,5097586065.2556,4115302341.0096,5819738371.755199,111.97,0
72,2254094917.4698,2806667420.9784,3819385897.159359,3396514156.44856,2701667695.18528,96.8456,1
114,5336979819.298801,5134362939.962,2614683585.0688004,2415100114.5248003,2865596300.9232,152.254,0
6,6832213151.092001,6772141602.6608,7334290092.582399,8959288491.657999,6866785937.308001,118.596,0
95,2468460414.89,4196558530.2128,3249005695.4732003,3195484279.44,2488559222.7344,114.704,0
125,3587408420.478,3132690806.352,3315564411.0260005,3036034796.952,3330699312.6680007,156.418,1
129,3850542051.1488,4138756139.4168,4562068745.9648,5511011106.202001,3587408420.478,162.49200000000002,1
54,3819408503.683,2885250841.50996,3787176587.752801,4247083141.87604,4336417112.673359,98.2416,1
50,4336417112.673359,7046748517.276441,6016715190.477639,5953024332.31824,5085927040.45152,91.3754,0
98,3181945528.052,2965906542.8104005,2561540226.1312,2468460414.89,4196558530.2128,118.44,1
46,5085927040.45152,2948902271.2204,6494597816.925602,5106361257.2672,4680628113.089999,94.2132,0
128,4138756139.4168,4562068745.9648,5511011106.202001,3587408420.478,3132690806.352,160.124,1
61,3096350051.1324,4088735587.5448,2821486246.656,3455039695.8783994,2926937792.5620003,93.77200000000002,0
137,3974435261.4728,2921182098.3904004,2722664426.9336004,3177181747.9236,5811083078.2704,164.03199999999998,1
79,2606515741.896,2382447152.7000003,2638832028.4068,2845851514.512,3307518342.0799994,104.96999999999998,1
115,4818271892.9484,5336979819.298801,5134362939.962,2614683585.0688004,2415100114.5248003,152.572,1
91,2488559222.7344,4368506091.95,4336237913.623199,3592097208.996,4089899398.363199,108.84,0
41,3518306742.3240004,4432132855.494,5037152826.736,4744889464.528,7596398627.148801,112.858,0
58,3455039695.8783994,2926937792.5620003,3821993604.27892,2964886748.77536,3819408503.683,105.896,0
90,4368506091.95,4336237913.623199,3592097208.996,4089899398.363199,2855567792.1648006,109.558,1
