t-1,t-2,t-3,t-4,t-5,t,movement
3623602559.5,2870227182.6,3057865355.97,2699077640.71,141.66,146.66,1
3706170796.7,3623602559.5,2870227182.6,3057865355.97,143.11,147.93,1
2998368169.83,3706170796.7,3623602559.5,2870227182.6,143.97,148.44,1
3555095546.16,2998368169.83,3706170796.7,3623602559.5,144.44,148.95,1
2678848620.75,3555095546.16,2998368169.83,3706170796.7,144.65,149.89,1
3157920142.39,2678848620.75,3555095546.16,2998368169.83,146.66,149.21,0
2585817954.1800003,3157920142.39,2678848620.75,3555095546.16,147.93,149.14,0
3774814681.3,2585817954.1800003,3157920142.39,2678848620.75,148.44,150.96,1
3265413042.7200003,3774814681.3,2585817954.1800003,3157920142.39,148.95,151.6,1
2876143830.0,3265413042.7200003,3774814681.3,2585817954.1800003,149.89,152.31,1
2414562662.19,2876143830.0,3265413042.7200003,3774814681.3,149.21,149.43,0
4883139737.49,2414562662.19,2876143830.0,3265413042.7200003,149.14,148.39,0
2570982733.11,4883139737.49,2414562662.19,2876143830.0,150.96,147.62,0
2932084240.36,2570982733.11,4883139737.49,2414562662.19,151.6,148.92,1
5121949416.719999,2932084240.36,2570982733.11,4883139737.49,152.31,155.97,1
10958805783.99,5121949416.719999,2932084240.36,2570982733.11,149.43,154.4,0
4141844539.2,10958805783.99,5121949416.719999,2932084240.36,148.39,155.22,1
3209280757.02,4141844539.2,10958805783.99,5121949416.719999,147.62,157.62,1
3466708938.6600003,3209280757.02,4141844539.2,10958805783.99,148.92,158.88,1
5784102026.88,3466708938.6600003,3209280757.02,4141844539.2,155.97,159.86,1
4198067633.86,5784102026.88,3466708938.6600003,3209280757.02,154.4,154.76,0
6159619319.32,4198067633.86,5784102026.88,3466708938.6600003,155.22,156.92,1
4131933801.64,6159619319.32,4198067633.86,5784102026.88,157.62,159.28,1
3528766530.08,4131933801.64,6159619319.32,4198067633.86,158.88,161.02,1
4747808668.64,3528766530.08,4131933801.64,6159619319.32,159.86,160.37,0
4445923076.7,4747808668.64,3528766530.08,4131933801.64,154.76,157.29,0
4340470399.44,4445923076.7,4747808668.64,3528766530.08,156.92,156.94,0
4315363172.12,4340470399.44,4445923076.7,4747808668.64,159.28,156.65,0
4141130160.7,4315363172.12,4340470399.44,4445923076.7,161.02,159.21,1
3446319363.75,4141130160.7,4315363172.12,4340470399.44,160.37,159.41,1
3100261951.73,3446319363.75,4141130160.7,4315363172.12,157.29,158.7,0
