Date,t-5,t-4,t-3,t-2,t-1,t,movement
2015-05-21,125.41,6043429986.23,9160733701.32,6051829723.83,4048048304.25,124.31,0
2015-05-22,126.49,9160733701.32,6051829723.83,4048048304.25,6628148536.72,124.57,1
2015-05-26,123.72,6051829723.83,4048048304.25,6628148536.72,4191727931.4599996,124.0,0
2015-05-27,126.01,4048048304.25,6628148536.72,4191727931.4599996,4370667556.0,124.16,1
2015-05-28,125.75,6628148536.72,4191727931.4599996,4370667556.0,4031008358.4,123.47,0
2015-05-29,124.31,4191727931.4599996,4370667556.0,4031008358.4,4974625808.26,122.77,0
2015-06-01,124.57,4370667556.0,4031008358.4,4974625808.26,4583218579.19,121.97,0
2015-06-02,124.0,4031008358.4,4974625808.26,4583218579.19,6732193793.33,121.61,0
2015-06-03,124.16,4974625808.26,4583218579.19,6732193793.33,7142422598.78,123.0,1
2015-06-04,123.47,4583218579.19,6732193793.33,7142422598.78,5036646435.0,122.71,0
2015-06-05,122.77,6732193793.33,7142422598.78,5036646435.0,4550645130.5,121.37,0
2015-06-08,121.97,7142422598.78,5036646435.0,4550645130.5,4682448895.610001,121.12,0
2015-06-09,121.61,5036646435.0,4550645130.5,4682448895.610001,5582908065.76,121.78,1
2015-06-10,123.0,4550645130.5,4682448895.610001,5582908065.76,4018895147.7200003,121.49,0
2015-06-11,122.71,4682448895.610001,5582908065.76,4018895147.7200003,4190592960.8399997,122.03,1
2015-06-12,121.37,5582908065.76,4018895147.7200003,4190592960.8399997,4527513007.17,120.81,0
2015-06-15,121.12,4018895147.7200003,4190592960.8399997,4527513007.17,6926679284.34,121.78,1
2015-06-16,121.78,4190592960.8399997,4527513007.17,6926679284.34,4343682894.84,121.23,0
2015-06-17,121.49,4527513007.17,6926679284.34,4343682894.84,3845100765.69,122.25,1
2015-06-18,122.03,6926679284.34,4343682894.84,3845100765.69,7081490541.75,121.69,0
2015-06-19,120.81,4343682894.84,3845100765.69,7081490541.75,4072541183.87,120.96,0
2015-06-22,121.78,3845100765.69,7081490541.75,4072541183.87,5585406865.92,118.84,0
2015-06-23,121.23,7081490541.75,4072541183.87,5585406865.92,6121930533.88,119.7,1
2015-06-24,122.25,4072541183.87,5585406865.92,6121930533.88,5565341016.900001,120.81,1
2015-06-25,121.69,5585406865.92,6121930533.88,5565341016.900001,3827973699.81,120.66,0
2015-06-26,120.96,6121930533.88,5565341016.900001,3827973699.81,3440390525.3399997,120.25,0
2015-06-29,118.84,5565341016.900001,3827973699.81,3440390525.3399997,3535740812.5,119.95,0
2015-06-30,119.7,3827973699.81,3440390525.3399997,3535740812.5,5900757206.3,116.97,0
