Date,t-1,t,movement
2016-02-02,3338707950.669,92.761,1
2016-02-03,4282691421.2949996,93.506,1
2016-02-04,4388483996.876,91.009,0
2016-02-05,4057837849.935,91.968,1
2016-02-08,5008795795.968,91.948,0
2016-02-09,3986711359.048,91.252,0
2016-02-10,3879465080.008,90.7,0
2016-02-11,4306058869.400001,90.98,1
2016-02-12,3693600854.1400003,93.545,1
2016-02-16,4394647842.195,94.979,1
2016-02-17,4160045342.707,93.177,0
2016-02-18,3567124069.0470004,92.965,0
2016-02-19,3130067590.08,93.778,1
2016-02-22,3207608782.2840004,91.659,0
2016-02-23,2814387761.82,93.022,1
2016-02-24,3348178519.9100003,93.66,1
2016-02-25,2389881571.56,93.808,1
2016-02-26,2663505365.664,93.594,0
2016-02-29,2913966359.31,97.309,1
2016-03-01,4921705695.226,97.522,1
2016-03-02,3261452041.368,98.26,1
2016-03-03,3530351605.5,99.73,1
2016-03-04,4509776338.610001,98.607,0
2016-03-07,3318261824.874,97.797,0
2016-03-08,3074117647.02,97.885,1
2016-03-09,2448828296.885,97.935,1
2016-03-10,3390732697.995,98.984,1
2016-03-11,2590708528.9519997,99.233,1
2016-03-14,2570693580.256,101.24,1
2016-03-15,4190653541.16,102.57,1
2016-03-16,4058762083.35,102.41,0
2016-03-17,3641639485.33,102.53,1
2016-03-18,4682296157.16,102.52,0
2016-03-21,3760144698.64,103.3,1
2016-03-22,3462378719.9,102.73,0
2016-03-23,2727873825.87,102.28,0
2016-03-24,2761303174.92,101.82,0
2016-03-28,1933509260.8799999,104.24,1
2016-03-29,3189124293.2,106.05,1
2016-03-30,4857931506.75,105.5,0
2016-03-31,2610331429.0,106.46,1
2016-04-01,2762148455.06,107.56,1
2016-04-04,3865936255.7200003,106.3,0
2016-04-05,2722276881.4,107.41,1
2016-04-06,2791005456.36,105.06,0
2016-04-07,3201713585.76,105.18,1
2016-04-08,2502313714.5,105.53,1
2016-04-11,2887283387.55,106.91,1
2016-04-12,2887829934.35,108.44,1
2016-04-13,3577084254.4,108.5,1
2016-04-14,2716221116.0,106.34,0
2016-04-15,4836102871.6,104.04,0
2016-04-18,6328463240.52,103.49,0
2016-04-19,3291983369.24,103.71,1
2016-04-20,2829575414.85,102.57,0
2016-04-21,3101899066.89,102.29,0
2016-04-22,3457528839.6000004,101.71,0
2016-04-25,2800267006.25,101.01,0
2016-04-26,4120431536.13,94.678,0
2016-04-27,10645090064.972,91.792,0
2016-04-28,7501346056.752,90.739,0
2016-04-29,6284403658.258,90.641,0
2016-05-02,4434949559.776,92.132,1
2016-05-03,5328316390.528,91.174,0
2016-05-04,3611723254.828,90.804,0
2016-05-05,3229409482.068,90.296,0
2016-05-06,3967942953.7840004,90.366,1
2016-05-09,2874014451.462,90.979,1
2016-05-10,3047123528.337,90.093,0
2016-05-11,2251102528.083,87.979,0
2016-05-12,6741382253.058,88.154,1
2016-05-13,3840613957.092,91.427,1
2016-05-16,5606448734.649,91.047,0
2016-05-17,4105124222.496,92.09,1
2016-05-18,3888485055.15,91.737,0
2016-05-19,2787496079.9579997,92.732,1
2016-05-20,2867487650.92,93.909,1
2016-05-23,3493010615.664,95.342,1
2016-05-24,2902089491.002,96.998,1
2016-05-25,3433897879.5220003,97.787,1
2016-05-26,5476764820.895,97.729,0
2016-05-27,3462962516.131,97.251,0
2016-05-31,3894538636.7580004,95.886,0
2016-06-01,2761086271.8599997,95.167,0
2016-06-02,3775448474.6080003,95.361,1
2016-06-03,2482470165.462,96.054,1
2016-06-06,2247576094.806,96.442,1
2016-06-07,2050536012.794,96.354,0
2016-06-08,1891881016.614,97.046,1
2016-06-09,2557889653.862,96.258,0
2016-06-10,2569378600.992,94.796,0
2016-06-13,3463108990.6920004,94.914,1
2016-06-14,3006907316.19,94.602,0
2016-06-15,2526753198.6,95.0,1
2016-06-16,2976303165.0,92.839,0
2016-06-17,5206413440.975,92.616,0
2016-06-20,3181666714.656,93.404,1
2016-06-21,3062439376.5039997,93.063,0
2016-06-22,2501506823.982,93.589,1
2016-06-23,2936750288.525,90.96,0
2016-06-24,5911270185.839999,89.635,0
